IMmedia,IMcohen,IMNNI,IMrazon,IMreg,IMrazonA,IMregA,IMRHD,fecha_num,mice_cart,mice_pmm
92,92,92,92,92,92,92,92,44614.743055555555,92,92
92,92,92,92,92,92,92,92,44614.756944444445,92,92
91,91,91,91,91,91,91,91,44614.770833333336,91,91
91,91,91,91,91,91,91,91,44614.78472222222,91,91
91,91,91,91,91,91,91,91,44614.79861111111,91,91
91,91,91,91,91,91,91,91,44614.8125,91,91
91,91,91,91,91,91,91,91,44614.82638888889,91,91
91,91,91,91,91,91,91,91,44614.84027777778,91,91
76.18068887634105,100.14982190336531,91,76.15669771903858,76.15669771903858,76.84481780313737,71.17447105883119,73,44614.854166666664,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,91,76.1567214271047,76.1567214271047,82.20671881387693,79.91783414072508,86,44614.868055555555,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,91,76.15674513517082,76.15674513517082,108.67800231905174,34.85557834616119,74,44614.881944444445,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,91,76.15676884323696,76.15676884323696,88.00945542237395,88.63267513955525,88,44614.895833333336,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,91,76.15679255130307,76.15679255130307,84.73869981339338,78.30861833466444,84,44614.90972222222,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,58,76.15681625936921,76.15681625936921,49.83891045168224,66.0537807086608,78,44614.92361111111,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,58,76.15683996743533,76.15683996743533,84.8263450004082,31.301250375821468,86,44614.9375,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,58,76.15686367550146,76.15686367550146,59.50356736247278,70.72088982680071,71,44614.95138888889,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,58,76.1568873835676,76.1568873835676,75.1041926847578,77.91969228678504,92,44614.96527777778,76.18068887634105,76.18068887634105
58,58,58,58,58,58,58,58,44614.979166666664,58,58
55,55,55,55,55,55,55,55,44614.993055555555,55,55
60,60,60,60,60,60,60,60,44615.006944444445,60,60
76.18068887634105,100.14982190336531,60,76.15698221583209,76.15698221583209,64.8886020453595,79.06067362590996,87,44615.020833333336,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,60,76.1570059238982,76.1570059238982,83.6319973322765,62.77250010820913,73,44615.03472222222,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,53,76.15702963196433,76.15702963196433,88.44548209799916,80.0587156000993,86,44615.04861111111,76.18068887634105,76.18068887634105
53,53,53,53,53,53,53,53,44615.0625,53,53
52,52,52,52,52,52,52,52,44615.07638888889,52,52
47,47,47,47,47,47,47,47,44615.09027777778,47,47
45,45,45,45,45,45,45,45,44615.104166666664,45,45
45,45,45,45,45,45,45,45,44615.118055555555,45,45
43,43,43,43,43,43,43,43,44615.131944444445,43,43
42,42,42,42,42,42,42,42,44615.145833333336,42,42
44,44,44,44,44,44,44,44,44615.15972222222,44,44
42,42,42,42,42,42,42,42,44615.17361111111,42,42
40,40,40,40,40,40,40,40,44615.1875,40,40
34,34,34,34,34,34,34,34,44615.20138888889,34,34
30,30,30,30,30,30,30,30,44615.21527777778,30,30
33,33,33,33,33,33,33,33,44615.229166666664,33,33
42,42,42,42,42,42,42,42,44615.243055555555,42,42
52,52,52,52,52,52,52,52,44615.256944444445,52,52
54,54,54,54,54,54,54,54,44615.270833333336,54,54
55,55,55,55,55,55,55,55,44615.28472222222,55,55
59,59,59,59,59,59,59,59,44615.29861111111,59,59
60,60,60,60,60,60,60,60,44615.3125,60,60
62,62,62,62,62,62,62,62,44615.32638888889,62,62
63,63,63,63,63,63,63,63,44615.34027777778,63,63
65,65,65,65,65,65,65,65,44615.354166666664,65,65
67,67,67,67,67,67,67,67,44615.368055555555,67,67
69,69,69,69,69,69,69,69,44615.381944444445,69,69
71,71,71,71,71,71,71,71,44615.395833333336,71,71
72,72,72,72,72,72,72,72,44615.40972222222,72,72
73,73,73,73,73,73,73,73,44615.42361111111,73,73
76,76,76,76,76,76,76,76,44615.4375,76,76
79,79,79,79,79,79,79,79,44615.45138888889,79,79
80,80,80,80,80,80,80,80,44615.46527777778,80,80
82,82,82,82,82,82,82,82,44615.479166666664,82,82
84,84,84,84,84,84,84,84,44615.493055555555,84,84
84,84,84,84,84,84,84,84,44615.506944444445,84,84
85,85,85,85,85,85,85,85,44615.520833333336,85,85
86,86,86,86,86,86,86,86,44615.53472222222,86,86
86,86,86,86,86,86,86,86,44615.54861111111,86,86
87,87,87,87,87,87,87,87,44615.5625,87,87
88,88,88,88,88,88,88,88,44615.57638888889,88,88
87,87,87,87,87,87,87,87,44615.59027777778,87,87
88,88,88,88,88,88,88,88,44615.604166666664,88,88
88,88,88,88,88,88,88,88,44615.618055555555,88,88
89,89,89,89,89,89,89,89,44615.631944444445,89,89
90,90,90,90,90,90,90,90,44615.645833333336,90,90
91,91,91,91,91,91,91,91,44615.65972222222,91,91
92,92,92,92,92,92,92,92,44615.67361111111,92,92
93,93,93,93,93,93,93,93,44615.6875,93,93
91,91,91,91,91,91,91,91,44615.70138888889,91,91
90,90,90,90,90,90,90,90,44615.71527777778,90,90
91,91,91,91,91,91,91,91,44615.729166666664,91,91
90,90,90,90,90,90,90,90,44615.743055555555,90,90
90,90,90,90,90,90,90,90,44615.756944444445,90,90
90,90,90,90,90,90,90,90,44615.770833333336,90,90
91,91,91,91,91,91,91,91,44615.78472222222,91,91
91,91,91,91,91,91,91,91,44615.79861111111,91,91
92,92,92,92,92,92,92,92,44615.8125,92,92
91,91,91,91,91,91,91,91,44615.82638888889,91,91
90,90,90,90,90,90,90,90,44615.84027777778,90,90
76.18068887634105,100.14982190336531,90,76.1584046997996,76.1584046997996,68.18077439641769,42.401774978773794,88,44615.854166666664,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,90,76.15842840786574,76.15842840786574,105.68716941255771,45.358552170330064,85,44615.868055555555,76.18068887634105,76.18068887634105
76.18068887634105,100.14982190336531,76,76.15845211593187,76.15845211593187,79.3296425018486,73.78467269286152,75,44615.881944444445,76.18068887634105,76.18068887634105
76,76,76,76,76,76,76,76,44615.895833333336,76,76
77,77,77,77,77,77,77,77,44615.90972222222,77,77
76.18068887634105,100.14982190336531,77,76.15852324013024,76.15852324013024,84.17367877791303,89.91952378297742,52,44615.92361111111,76.18068887634105,76.18068887634105
