fecha_num,Hum_missForest,Tem_missForest
44614.743055555555,92,10.89
44614.756944444445,92,11
44614.770833333336,91,10.61
44614.78472222222,91,10.65
44614.79861111111,91,10.72
44614.8125,91,10.61
44614.82638888889,91,10.39
44614.84027777778,91,10.39
44614.854166666664,88.37676406926407,13.159638032852147
44614.868055555555,88.37676406926407,13.159638032852147
44614.881944444445,88.01888888888888,13.159638032852147
44614.895833333336,88.01888888888888,13.242438032852146
44614.90972222222,86.98,13.677608194157637
44614.92361111111,76.34041666666666,15.752827471941647
44614.9375,76.35055555555554,15.831141757655933
44614.95138888889,76.35055555555554,15.831141757655933
44614.96527777778,76.63349170437405,15.963859312947411
44614.979166666664,58,18.5
44614.993055555555,55,19
44615.006944444445,60,18.39
44615.020833333336,76.20349170437406,16.01846175765593
44615.03472222222,76.16349170437405,16.01846175765593
44615.04861111111,71.74532072829133,17.004452131925625
44615.0625,53,20.78
44615.07638888889,52,21.39
44615.09027777778,47,23.11
44615.104166666664,45,23.11
44615.118055555555,45,23.22
44615.131944444445,43,24
44615.145833333336,42,24.5
44615.15972222222,44,23.61
44615.17361111111,42,24.78
44615.1875,40,25.61
44615.20138888889,34,25.39
44615.21527777778,30,25.61
44615.229166666664,33,24.39
44615.243055555555,42,23.11
44615.256944444445,52,20.89
44615.270833333336,54,20.5
44615.28472222222,55,20.11
44615.29861111111,59,19.72
44615.3125,60,19.11
44615.32638888889,62,18.78
44615.34027777778,63,18.39
44615.354166666664,65,18.22
44615.368055555555,67,17.89
44615.381944444445,69,17.39
44615.395833333336,71,16.89
44615.40972222222,72,16.78
44615.42361111111,73,16.39
44615.4375,76,16.22
44615.45138888889,79,15.78
44615.46527777778,80,15.39
44615.479166666664,82,15.11
44615.493055555555,84,14.89
44615.506944444445,84,14.5
44615.520833333336,85,14.11
44615.53472222222,86,14.11
44615.54861111111,86,13.5
44615.5625,87,13.61
44615.57638888889,88,13.28
44615.59027777778,87,13
44615.604166666664,88,12.61
44615.618055555555,88,12.28
44615.631944444445,89,12.11
44615.645833333336,90,12.11
44615.65972222222,91,12
44615.67361111111,92,11.72
44615.6875,93,11.72
44615.70138888889,91,11.89
44615.71527777778,90,11.61
44615.729166666664,91,11.61
44615.743055555555,90,11.39
44615.756944444445,90,11.28
44615.770833333336,90,11.11
44615.78472222222,91,11.28
44615.79861111111,91,11
44615.8125,92,11.11
44615.82638888889,91,11.11
44615.84027777778,90,11.11
44615.854166666664,80.1681111111111,14.894900554316193
44615.868055555555,81.69,14.912126356020515
44615.881944444445,80.59848191450493,15.130650877425042
44615.895833333336,76,14.11
44615.90972222222,77,14.5
44615.92361111111,80.52848191450494,15.194650877425042
44615.9375,80.8023373015873,15.222450877425045
44615.95138888889,80.53,15.315250877425044
44615.96527777778,54,19.28
44615.979166666664,52,21.22
44615.993055555555,53,21
44616.006944444445,55,21
44616.020833333336,59,20.39
44616.03472222222,62,19.72
44616.04861111111,62,19.78
44616.0625,64,19
44616.07638888889,63,19.61
44616.09027777778,62,20.11
44616.104166666664,49,23.89
44616.118055555555,49,23.22
44616.131944444445,46,24.11
44616.145833333336,42,26
44616.15972222222,48,23.39
44616.17361111111,46,24.28
44616.1875,44,24.28
44616.20138888889,52,21.89
44616.21527777778,52,21.22
44616.229166666664,53,21
44616.243055555555,56,20.5
44616.256944444445,58,20.22
44616.270833333336,60,20
44616.28472222222,63,19.61
44616.29861111111,65,19.28
44616.3125,65,19
44616.32638888889,68,18.61
44616.34027777778,70,18.28
44616.354166666664,71,18.11
44616.368055555555,72,17.78
44616.381944444445,73,17.61
44616.395833333336,74,17.5
44616.40972222222,75,17.5
44616.42361111111,77,17.39
44616.4375,78,17.28
44616.45138888889,78,17.11
44616.46527777778,80,16.89
44616.479166666664,80,16.78
44616.493055555555,81,16.72
44616.506944444445,82,16.39
44616.520833333336,82,16.11
44616.53472222222,84,16
44616.54861111111,87,15.72
44616.5625,87,15.72
44616.57638888889,87,15.28
44616.59027777778,88,15.5
44616.604166666664,88,15.61
44616.618055555555,87,15.28
44616.631944444445,89,14.89
44616.645833333336,91,14.89
44616.65972222222,91,14.78
44616.67361111111,91,14.78
44616.6875,91,14.28
44616.70138888889,91,14.28
44616.71527777778,92,14.11
44616.729166666664,92,14.11
44616.743055555555,92,14.11
44616.756944444445,92,14.39
44616.770833333336,92,14.78
44616.78472222222,89,15
44616.79861111111,89,14.39
